STATUS,Main Code,PLZ,ORT,STR,Telefon,Telefon Intern,E Mail,Main Typ,Stationsname,Manager,Bundesland,ID Checker,Switch,Port,IT Kommentar,TSR REMARKS,SN-PC,SN-SC,TV-ID,,PP,SW,FW,PP,SW
READY,BERN03,16321,BERNAU BEI BERLIN,SCHWANEBECKER CHAUSSEE 12,+49 (3338) 704099,,destBERN03@europcar.com,A,BERNAU BEI BERLIN,Fibich & Scholz GbR,BB,1,Switch voll,,,Connected to Noname Switch and labeled,,201728 00606,,,Direct,1,,,
READY,BERT01,12529,BERLIN,FLUGHAFEN BERLIN BRANDENBURG,+49 (3063) 49160,,destBERT01@europcar.com,CAP,BERLIN   BRANDENBURG AIRPORT -IKC-,Sascha Seelhoff,BB,2,ECARBERT01AZS01,7 +12,ok,,,,,,B13,7,,C4,21
READY,CBUC02,3050,COTTBUS,DRESDENER STR 18,+49 (355) 478570,,destCBUC02@europcar.com,A,COTTBUS,Marvin Paethe,BB,1,ECARCBUC02AZS02,4,,,,,,,,,,,
READY,EBXC02,16225,EBERSWALDE,BREITE STR. 144,+49 (3334) 289055,,destEBXC02@europcar.com,A,EBERSWALDE,Wilmerstaedt und Buchwald Autovermietung GbR,BB,1,ECAREBXC02AZS01,1,,,,,,,,,,,
READY,XXPC02,14467,POTSDAM,LANGE BRUECKE 6,+49 (331) 298240,,destXXPC02@europcar.com,C,POTSDAM,Lars Pantel,BB,1,ECARXXPC02AZS01,20,,,,,,,A5,20,,,
READY,BERC01,10787,BERLIN,KURFUERSTENSTR. 101,+49 (30) 2350640,,destBERC01@europcar.com,C,BERLIN  CITY WEST -IKC-,Andreas Krohn,BE,1,ECARBERC01AZS01,4,,,47714571453,201734 00745,,,,,,,
READY,BERC02,10178,BERLIN,ALEXANDERPLATZ 8,+49 (30) 2407900,,destBERC02@europcar.com,C,BERLIN  ALEXANDERPLATZ 24H NO TRUCK,Jens Georgi,BE,2,ECARBERC02AZS01,7 + 8,,,,,,,,,,,
READY,BERE01,10365,BERLIN,SIEGFRIEDSTR. 64,+49 (30) 5577430,,destBERE01@europcar.com,CSS,BERLIN VAN TRUCK CARS IKC,Sven Bartsch,BE,1,ECARBERE01AZZ01,2,,,,,,,A17,2,,,
READY,BERE02,12489,BERLIN,RUDOWER CHAUSSEE 25,+49 (30) 67825911,,destBERE02@europcar.com,A,BERLIN  SOUTHEAST ADLERSHOF -IKC-,Uwe Kowalski,BE,1,ECARBERE02AZS01,1,,"No Rack, No Ports, no cables",,,,,Direct,,,,
READY,BERE03,12627,BERLIN,FRITZ-LANG-PLATZ 6,+49 (30) 99275827,,destBERE03@europcar.com,A,BERLIN HELLERSDORF NO TRUCKS IKC,Uwe Kowalski,BE,1,ECARBERE03AZZ01,2,,No Rack, , ,,,Direct,6,,,
READY,BERL01,10557,BERLIN,EUROPAPLATZ 1,+49 (30) 20624600,,destBERL01@europcar.com,CRR,BERLIN   HAUPTBAHNHOF -IKC-,Angelika Fricke,BE,1,ECARBERL01AZS01,15,,,,,,,A4,15,,,
READY,BERN01,13405,BERLIN,KAPWEG 4,+49 (30) 4548920,,destBERN01@europcar.com,C,BERLIN NORTH REINICKENDORF -IKC-,Vincent Eichhorst,BE,1,ECARBERN01AZS01,1,"steckt derzeit am Router, muss umgesteckt werden",All Switches Full with Link Activity / connected on Port 5 FW,,,,,A22,,5,,
READY,BERW04,13597,BERLIN,SEEGEFELDER STR. 16,+49 (30) 3539500,,destBERW04@europcar.com,A,BERLIN SPANDAU,Torsten Pohl,BE,1,ECARBERW01AZS01,1,,,,201820 00661,,,4,1,,,
READY,FDHC02,88045,FRIEDRICHSHAFEN,EUGENSTR. 47,+49 (7541) 23053,,destFDHC02@europcar.com,C,FRIEDRICHSHAFEN CITY -IKC-,Anja Albrecht,BW,1,ECARFDHC02AZS02,5,,,,201737 01611,,,A15,5,,,
READY,FKBC01,76227,KARLSRUHE,OTTOSTR. 18,+49 (721) 931550,,destFKBC01@europcar.com,C,KARLSRUHE TILL 10PM,Dominik Schmid,BW,2,ECARFKBC01AZS01,4 + 5,beide ok,1 Tablet geht nicht an. Ausgetauscht mit Tablet vom Flughafen,,,,,,,,,
KEIN IDCHECKER,FKBN02,76646,BRUCHSAL,CHRISTIAN PAEHR STR 4,+49 (7251) 9297592,,destFKBN02@europcar.com,A,BRUCHSAL *NO TRUCKS*,Euroline GmbH & Co. KG,BW,0,kein Switch vorhanden,,tatsächlich 2023 zurückgeschickt bei Schließung alter 6LC,,,,,,,,,,
READY,FKBS02,76275,ETTLINGEN,SCHOELLBRONNER STR. 9-11,+49 (7243) 21990,,destFKBS02@europcar.com,A,ETTLINGEN,,BW,1,ECARFKBS02AZS01,2,,Switch Full,,,,,Direct,2,,,
READY,FKBT01,77836,RHEINMUENSTER,HALIFAX AVENUE 420B,+49 (7229) 665634,,destFKBT01@europcar.com,CA,BADEN AIRPARK,Swetlana Bogatyrev,BW,1,ECARFKBT01AZS02,6,"ok, haben nur 3 FO Counter, da reicht 1 ID Checker",2.IDchecker abgebaut und für andere Location mitgenommen,,201743 00690,,,10,6,,,
READY,GOXC01,73037,GOEPPINGEN,ULMER STR. 42,+49 (7161) 963650,,destGOXC01@europcar.com,C,GOEPPINGEN,Carmen Mader,BW,1,ECARGOXC01AZS02,4,ok,,,,,,8,,,,
READY,HDBC01,69115,HEIDELBERG,BERGHEIMER STR. 159,+49 (6221) 53990,,destHDBC01@europcar.com,C,HEIDELBERG,Jasmina Qasem,BW,1,Switch voll,,,,,,,,C2,,,,
READY,HLEC01,74080,HEILBRONN,ALBERT-SCHAEFFLER-STR. 2,+49 (7131) 62110,,destHLEC01@europcar.com,C,HEILBRONN TILL 10PM,Ciprian Habel,BW,1,Switch voll,,steckt am MX,,,,,,,,,,
READY,LHAN01,77652,OFFENBURG,OKENSTR 76A,+49 (781) 96669210,,destLHAN01@europcar.com,C,OFFENBURG CITY,Adriano Mariniello,BW,1,BBLHAN01AZS01,18,ok,,15076280153,201820 00655,,,,,,,
READY,LLBC01,71634,LUDWIGSBURG,HEILBRONNER STR. 20,+49 (7141) 44260,,destLLBC01@europcar.com,C,LUDWIGSBURG,Melanie Klein,BW,1,ECARLLBC01AZS01,9,,No Tablet Onsite. Using new spare one,,201737 01607,,,A2,9,,,
READY,MHGC01,68309,MANNHEIM,ROLLBUEHLSTR. 91-93,+49 (621) 728230,,destMHGC01@europcar.com,C,MANNHEIM KAEFERTAL,Carolin Ahlers,BW,1,ECARMHGC01AZS01,12,,,,,,,B4,12,,,
READY,MHGC02,68199,MANNHEIM,NECKARAUER STR. 50-52,+49 (621) 842370,,destMHGC02@europcar.com,C,MANNHEIM  SOUTH NECKARAU,Maximilian Kempf,BW,1,ECARMHGC02AZS01,11,,,,,,,C1,11,,,
READY,QEIC01,74564,CRAILSHEIM,HALLER STR  208,+49 (7951) 295920,,destQEIC01@europcar.com,A,CRAILSHEIM  NO TRUCKS,Linda Nguyen & Viktor Frank GbR,BW,1,ECARQEIC01AZS01,6,,,,,,,16,,6,,
READY,QFBC01,79115,FREIBURG,LOERRACHER STR. 10,+49 (761) 515100,,destQFBC01@europcar.com,C,FREIBURG IM BREISGAU,Tina Huetter,BW,1,ECARQFBC01AZS01,7 (ja) + 8 (nein),für 4 Frontoffice werden 2 ID Checker gebraucht?,Nur 1 x IDChecker vorhanden. Info von Mitarbeitern,46429381453,201840 00009,,,29,,,,
