NO,DATE,DEVICE-ID,LOCATIONCODE,CITY,SN-PC,SN-SC
1,09.07.2025,AAHC01-01,AAHC01,AACHEN,047924271453,201737 01567
2,30.07.2025,AGBC02-01,AGBC02,AUGSBURG,010242571153,201734 00748
3,17.07.2025,BCOC01-01,BCOC01,RHEDE,017661771353,201820 00651
4,18.06.2025,BERC01-01,BERC01,BERLIN,047714571453,201734 00745
5,18.06.2025,BERC02-01,BERC02,BERLIN  ALEXANDERPLATZ 24H NO TRUCK,020201255253,201743 00715
6,18.06.2025,BERC02-02,BERC02,BERLIN  ALEXANDERPLATZ 24H NO TRUCK,006368562653,201743 00735
7,18.06.2025,BERE01-01,BERE01,BERN03,047757571453,201734 00728
8,04.08.2025,BERE02-01,BERE02,BERLIN,015082580153,201840 00045
9,19.06.2025,BERE03-01,BERE03,BERLIN,016909380153,201820 00663
10,03.08.2025,BERL01-01,BERL01,BERLIN,047566771453,201734 00729
11,04.08.2025,BERN01-01,BERN01,BERLIN,047926771453,201734 00732
12,19.06.2025,BERN03-01,BERN03,BERNAU BEI BERLIN,047640771453,201728 00606
13,18.06.2025,BERW04-01,BERW04,Berlin,015047480153,201820 00661
14,16.06.2025,BQMC03-01,BQMC03,BAD HOMBURG,033341763753,201743 00737
15,27.05.2025,BREW03-01,BREW03-01-READY,DELMENHORST,047925171453,201840 00037
16,12.06.2025,BWEC01-01,BWEC01,BRAUNSCHWEIG,047455371453,201737 01554
17,26.05.2025,CBUC02-01,CBUC02,COTTBUS,000876770153,201743 00708
18,7.07.2025,DUST01-01,DUST01,DUESSELDORF,049409205053,201728 00602
19,11.06.2025,HAJT01-02,HAJT01,LANGENHAGEN,047504171453,201743 00734
20,10.08.2025,ZQPC02-01,ZQPC02,WESEL,037181170253,201743 00710
21,07.07.2025,DUST01-02,DUST01,DUESSELDORF,047968171453,201737 01604
22,16.06.2025,FRAT01-04,FRAT01,FRANKFURT AM MAIN,000656470153,201743 00694
23,29.07.2025,MUCC01-02,MUCC01,MUENCHEN,047904471453,201743 00698
24,02.06.2025,FKBC01-02,FKBC01,KARLSRUHE,047915271453,201743 00685
25,03.06.2025,STRT01-02,STRT01,STUTTGART,039721671253,201840 00030
26,22.05.2025,ZSUC03-01,ZSUC03,DESSAU,026702464653,201734 00724
27,23.05.2025,ZTZE02-01,ZTZE02,FREIBERG / SACHSEN,038141481553,201840 00032
28,05.06.2025,ZQLC01-01,ZQLC01,VILLINGEN-SCHWENNINGEN,038140581553,201728 00618
29,8.07.2025,ZQPW02-01,ZQPW02,KLEVE,013935780153,201734 00772
30,12.06.2025,ZQUC01-01,ZQUC01,WOLFSBURG,000722370153,201734 00759
31,22.07.2025,ZQWN01-01,ZQWN01,HOMBURG,057171771053,201840 00024
32,21.07.2025,ZPSC01-01,ZPSC01,RUESSELSHEIM,039747555153,201737 01585
33,12.06.2025,MQGC01-01,MQGC01,MAGDEBURG,047945671453,201734 00760
34,29.07.2025,MUCC01-01,MUCC01,MUENCHEN,047572371453,201743 00697
35,29.07.2025,MUCE02-01,MUCE02,MUENCHEN,047772171453,201837 00386
36,29.07.2025,MUCN01-01,MUCN01,MUENCHEN,035741162353,201840 00046
37,28.07.2025,MUCT01-01,MUCT01,MUENCHEN FLUGHAFEN,047553471453,201728 00622
38,28.07.2025,MUCT01-03,MUCT01,MUENCHEN FLUGHAFEN,047979671453,201728 00615
39,30.07.2025,NUES01-01,NUES01,NUERNBERG,047902671453,201743 00717
40,30.07.2025,NUET01-01,NUET01,NUERNBERG,037911781553,201743 00732
41,30.07.2025,NUEW01-01,NUEW01,NUERNBERG,039178772653,201734 00761
42,27.05.2025,OENC01-01,OENC01,OLDENBURG / OLDENBURG,049482105053,201734 00744
43,16.06.2025,OFEC01-01,OFEC01,OFFENBACH,049073505053,201737 01605
44,31.07.2025,PADC02-01,PADC02,PADERBORN,03362780053,201734 00751
45,15.07.2025,QBON03-01,QBON03,RECKLINGHAUSEN,012240572553,201734 00749
46,15.07.2025,QBON04-01,QBON04,HERNE,066709772553,201823 00006
47,7.07.2025,QKFC03-01,QKFC03,KREFELD,000667270153,201737 01555
48,28.07.2025,QLGN01-01,QLGN01,LANDSHUT,014815280153,201840 00048
49,16.06.2025,QLHC01-01,QLHC01,KELSTERBACH,047698171453,201737 01586
50,22.07.2025,QMZC01-01,QMZC01,MAINZ,047898671453,201737 01571
51,22.07.2025,QMZS01-01,QMZS01,BAD KREUZNACH,087558272453,201743 00693
52,05.06.2025,QULC01-01,QULC01,ULM,012656680153,201840 00023
53,22.07.2025,RMSC01-01,RMSC01,RAMSTEIN,088354772553,201728 00612
54,03.07.2025,RSOC01-01,RSOC01,ROSTOCK,038258281553,201840 00014
55,28.07.2025,RSQC01-01,RSQC01,ROSENHEIM,025553180153,201728 00601
56,08.08.2025,RULC01-01,RULC01,REUTLINGEN,047590371453,201743 00730
57,23.07.2025,SCNC01-01,SCNC01,SAARBRUECKEN,017982171353,201737 01588
58,20.07.2025,SGEC01-01,SGEC01,SIEGEN,057035105053,201737 01575
59,21.07.2025,SPMS01-01,SPMS01,TRIER,042055571253,201743 00726
60,03.06.2025,STRC03-01,STRC03,STUTTGART,000940170153,201840 00018
61,03.06.2025,STRT01-01,STRT01,STUTTGART,047906271453,201743 00743
62,02.07.2025,SZWC02-01,SZWC02,SCHWERIN LANKOW,047787271453,201820 00654
63,22.05.2025,TXSC01-01,TXSC01,ZEITZ,038338381553,201840 00040
64,03.06.2025,UPFC01-01,UPFC01,PFORZHEIM,012835280153,201728 00599
65,15.07.2025,UWPC04-01,UWPC04,WUPPERTAL,000728470153,201734 00765
66,14.07.2025,UWPS02-01,UWPS02,SOLINGEN,019973680153,201743 00714
67,18.06.2025,XXPC02-01,XXPC02,POTSDAM,001019370153,201734 00733
68,24.07.2025,ZCBC01-01,ZCBC01,ASCHAFFENBURG,038081181553,201840 00019
69,17.06.2025,ZOIC01-01,ZOIC01,MARBURG,038199581553,201728 00608
70,01.08.2025,ZOMC03-01,ZOMC03,MINDEN,047717271453,201734 00750
71,16.07.2025,ZOON01-01,ZOON01,MUELHEIM AN DER RUHR,016349571253,201734 00769
72,28.07.2025,ZORN01-01,ZORN01,WEIDEN,038044281553,201823 00014
73,02.08.2025,ZOVC02-01,ZOVC02,NORDERSTEDT,047732571453,201734 00739
74,10.07.2025,ZCKC02-01,ZCKC02,BRUEHL,012762380153,201823 00002
75,02.07.2025,ZGWC01-01,ZGWC01,GREIFSWALD,012781280153,201820 00659
76,19.07.2025,ZOCC01-01,ZOCC01,LUEDENSCHEID,037898781553,201737 01609
77,03.08.2025,BERT01-01,BERT01,BERLIN,059603570253,201743 00741
78,20.06.2025,BFEC01-01,BFEC01,BIELEFELD,047781171453,201734 00753
79,09.07.2025,CGNE01-01,CGNE01,KOELN,055204555253,201728 00616
80,10.07.2025,CGNL01-01,CGNL01,KOELN,047816271453,201737 01559
81,09.07.2025,CGNN01-01,CGNN01,KOELN,000768770153,201737 01561
82,10.07.2025,CGNS01-01,CGNS01,KOELN,047967271453,201737 01563
83,09.07.2025,CGNW02-01,CGNW02,KOELN,047534571453,201737 01562
84,23.07.2025,DASC01-01,DASC01,DARMSTADT NORTH,047533671453,201737 01583
85,23.05.2025,DRSC02-01,DRSC02,DRESDEN,046586663953,201734 00718
86,24.05.2025,DRSN25-01,DRSN25,DRESDEN,047876371453,201737 01564
87,17.07.25,DTMN01-01,DTMN01,DORTMUND,037184572753,201743 00713
88,17.07.2025,DTMN25-01,DTMN25,DORTMUND,021061471353,201837 00395
89,16.07.2025,DUIC02-01,DUIC02,DUISBURG,020129780153,201823 00015
90,05.06.2025,TFGC01-01,TFGC01,TUEBINGEN,047824371453,201734 00723
91,22.05.2025,LEJC02-01,LEJC02,LEIPZIG,047570571453,201734 00721
